paramvalue,time,ite,resi
0,50.686094,20,1.009844e-03
1,31.936032,20,6.545352e+00
3,33.406214,20,2.070207e-03
6,33.817326,20,1.263622e-07
7,51.718225,20,1.115349e-03
8,23.064193,20,1.391421e+01
9,23.828535,20,1.372000e+01
10,32.370587,20,9.984566e-01
11,31.840946,20,9.710437e+00
