1,3.887771,6,2.182671e-09
2,2.670808,8,6.046403e-09
4,1.579807,7,8.032156e-09
6,1.289010,9,3.782018e-09
8,1.032224,8,2.841566e-09
12,0.863332,9,8.417305e-09
16,0.758332,9,4.610717e-09
20,0.697047,10,3.944299e-09
24,0.896251,10,2.941848e-09
28,0.959640,8,3.762943e-09
32,0.982680,9,3.053010e-09
36,0.875736,8,2.720613e-09
40,0.950844,9,1.742104e-09
48,1.084553,10,8.787340e-09
56,1.002856,13,2.257094e-09
60,1.209624,14,4.524398e-09
64,1.274932,14,8.649561e-09
70,1.293402,14,9.101754e-09
72,1.302267,14,8.909562e-09
74,1.236985,14,9.028187e-09
78,1.267998,14,9.183363e-09
80,1.398968,14,9.416205e-09
82,1.424028,14,9.876853e-09
84,1.255466,14,9.638519e-09
