paramvalue,time,ite,resi
1,133.600787,20,1.613607e+01
2,80.117878,20,1.562362e+01
4,43.751394,20,1.565461e+01
6,30.596699,20,1.548638e+01
8,24.037643,20,1.615667e+01
12,17.463286,20,1.556037e+01
16,14.549515,20,1.563944e+01
20,13.050518,20,1.592983e+01
24,12.201557,20,1.554543e+01
28,11.677940,20,1.597296e+01
