paramvalue,time,ite,resi
0,33.701061,20,1.263622e-07
1,16.159939,20,3.921734e-01
2,13.970218,20,5.927015e+00
3,13.656487,20,1.476601e+01
4,13.640583,20,1.716958e+01
5,13.640139,20,1.449166e+01
7,13.657939,20,8.734789e+00
8,13.647280,20,8.121004e+00
9,13.642785,20,8.075702e+00
10,14.115257,20,8.075702e+00
11,13.674772,20,8.075702e+00
12,13.659434,20,8.075702e+00
16,13.699341,20,8.075702e+00
20,13.692119,20,8.075702e+00
