np,nx,time,ite,resi
1,100,0.012160,7,1.915540e-09
2,200,0.033605,9,1.013100e-09
4,400,0.086014,11,2.189671e-09
8,800,0.234538,13,5.288183e-09
16,1600,0.818386,16,6.707786e-09
28,2800,2.428987,18,8.541979e-09
32,3200,4.738888,20,1.370830e-08
56,5600,15.456534,20,1.205155e-07
64,6400,20.615596,20,1.056651e-07
84,8400,42.400315,20,2.980975e-07
