np,nx,time,ite,resi
1,256,0.081694,7,3.941760e-09
2,512,0.226652,10,2.013822e-09
4,1024,0.709714,11,8.773310e-09
8,2048,2.283084,14,2.332765e-09
16,4096,7.898694,18,3.315784e-09
28,7168,23.389492,20,1.257156e-08
32,8192,38.072464,20,1.367960e-08
56,14336,162.173127,20,2.208172e-07
64,16752,254.218025,20,2.846282e-06
84,21504,,,
