paramvalue,time,ite,resi
0,35.961119,20,2.431439e-07
1,106.535088,20,3.268987e-08
3,33.737952,20,1.263622e-07
4,33.768379,20,1.263590e-07
5,33.786432,20,1.263622e-07
6,41.217456,20,8.980949e-08
